"name","id","properties"
"ActionGroup.EastUS","ActionGroup.EastUS","@{changeNumber=2; region=eastus; regionId=32; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.EastUS2","ActionGroup.EastUS2","@{changeNumber=2; region=eastus2; regionId=33; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.EastUS2EUAP","ActionGroup.EastUS2EUAP","@{changeNumber=1; region=eastus2euap; regionId=49; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.FranceCentral","ActionGroup.FranceCentral","@{changeNumber=1; region=centralfrance; regionId=19; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.FranceSouth","ActionGroup.FranceSouth","@{changeNumber=1; region=southfrance; regionId=20; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.GermanyNorth","ActionGroup.GermanyNorth","@{changeNumber=1; region=germanyn; regionId=72; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.GermanyWestCentral","ActionGroup.GermanyWestCentral","@{changeNumber=2; region=germanywc; regionId=71; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.JapanEast","ActionGroup.JapanEast","@{changeNumber=2; region=japaneast; regionId=24; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.JapanWest","ActionGroup.JapanWest","@{changeNumber=1; region=japanwest; regionId=25; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.KoreaCentral","ActionGroup.KoreaCentral","@{changeNumber=1; region=koreacentral; regionId=26; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.NorthCentralUS","ActionGroup.NorthCentralUS","@{changeNumber=2; region=northcentralus; regionId=34; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.NorthEurope","ActionGroup.NorthEurope","@{changeNumber=1; region=northeurope; regionId=17; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.NorwayEast","ActionGroup.NorwayEast","@{changeNumber=1; region=norwaye; regionId=63; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
